metal_product,diameter,side_size,width,thickness,mark_number
"Труба бесшовная (SMLS) с фаской на концах DN 14"" Sch 10 (355.6x6.35) CS BE ASME B36.10 ASTM A106 Gr.B ",355.6,,,6.35,
"Труба бесшовная (SMLS) с фаской на концах DN 16"" Sch 10 (406.4x6.35) CS BE ASME B36.10 ASTM A106 Gr.B ",406.4,,,6.35,
"Труба бесшовная (SMLS) с фаской на концах DN 18"" Sch 10 (457.6x6.35) CS BE ASME B36.10 ASTM A106 Gr.B ",457.6,,,6.35,
"Труба бесшовная (SMLS) с фаской на концах DN3"" Sch 10S (88,9x3,06) ASME B36.19M ASTM A312 TP304/304L",88.9,,,3.06,
"Труба бесшовная (SMLS) с фаской на концах DN 8"" Sch 100 (219.1x15.09) CS BE ASME B36.10 ASTM A106 Gr.B ",219.1,,,15.09,
"Труба бесшовная (SMLS) с фаской на концах DN 10"" Sch 100 (273x18.26) CS BE ASME B36.10 ASTM A106 Gr.B ",273.0,,,18.26,
"Труба бесшовная (SMLS) с фаской на концах DN 12"" Sch 100 (323.8х21.44) CS BE ASME B36.10 ASTM A106 Gr.B ",323.8,,,21.44,
"Труба бесшовная (SMLS) с фаской на концах DN 2"" Sch 10S (60.3х2.77) CS BE ASME B36.10 ASTM A106 Gr.B ",60.3,,,2.77,
"Труба бесшовная (SMLS) с фаской на концах DN 4"" Sch 10S (114.3х3.05) CS BE ASME B36.10 ASTM A106 Gr.B ",114.3,,,3.05,
"Труба бесшовная (SMLS) с фаской на концах DN 8"" Sch 10S (219.1х3.76) CS BE ASME B36.10 ASTM A106 Gr.B ",219.1,,,3.76,
"Труба бесшовная (SMLS) с фаской на концах DN 6"" Sch 10S (168.3х3.40) CS BE ASME B36.10 ASTM A106 Gr.B ",168.3,,,3.4,
"Труба бесшовная (SMLS) с фаской на концах DN 10"" Sch 10S (273х4.19) CS BE ASME B36.10 ASTM A106 Gr.B ",273.0,,,4.19,
"Труба бесшовная (SMLS) с фаской на концах DN 14"" Sch 10S (355.6x4.78) CS BE ASME B36.10 ASTM A106 Gr.B ",355.6,,,4.78,
"Труба бесшовная (SMLS) с фаской на концах DN 16"" Sch 10S (406.4x4.78) CS BE ASME B36.10 ASTM A106 Gr.B ",406.4,,,4.78,
"Труба бесшовная (SMLS) с фаской на концах DN 18"" Sch 10S (457x4.78) CS BE ASME B36.10 ASTM A106 Gr.B ",457.0,,,4.78,
"Труба бесшовная (SMLS) с фаской на концах DN2"" Sch 10S (60,3x2,77) ASME B36.19M ASTM A312 TP304/304L",60.3,,,2.77,
"Труба бесшовная (SMLS) с фаской на концах DN4"" Sch 10S (114,3x3,06) ASME B36.19M ASTM A312 TP304/304L",114.3,,,3.06,
"Труба бесшовная (SMLS) с фаской на концах DN6"" Sch 10S (168,3x3,4) ASME B36.19M ASTM A312 TP304/304L",168.3,,,3.4,
"Труба бесшовная (SMLS) с фаской на концах DN 8"" Sch 10S (219.1х3.76) BE ASME B36.19 ASTM SS A312-TP304/304L",219.1,,,3.76,
"Труба бесшовная (SMLS) с фаской на концах DN 10"" Sch 10S (273х4.19) BE ASME B36.19M ASTM SS A312-TP304/304L",273.0,,,4.19,
"Труба бесшовная (SMLS) с фаской на концах DN 12"" Sch 10S (323.8х4.57) BE ASME B36.19M ASTM SS A312-TP304/304L",323.8,,,4.57,
"Труба шовная (EFW) с фаской на концах DN 20"" Sch 10S (508х5.54) BE ASME B36.19M ASTM SS A358-TP304/304L-CL.1",508.0,,,5.54,
"Труба шовная (EFW) с фаской на концах DN 24"" Sch 10S (610х6.35) BE ASME B36.19M ASTM SS A358-TP304/304L-CL.1",610.0,,,6.35,
"Труба шовная (SAW) с фаской на концах DN 36"" Sch STD (914х9.53) CS BE ASME B36.10 API-5L-B-PSL2",914.0,,,9.53,
"Труба шовная (SAW) с фаской на концах DN 42"" Sch XS (1067х12.70) CS BE ASME B36.10 API-5L-B-PSL2",1067.0,,,12.7,
"Труба бесшовная (SMLS) с фаской на концах DN 3/4"" Sch 160 (26.7x5.56) CS BE ASME B36.10 ASTM A106 Gr.B",26.7,,,5.56,
"Труба бесшовная (SMLS) с фаской на концах DN 1/2"" Sch 160 (48.3x7.14) CS BE ASME B36.10 ASTM A106 Gr.B",48.3,,,7.14,
"Труба бесшовная (SMLS) с фаской на концах DN 2"" Sch STD (60.3x3.91) CS BE ASME B36.10 ASTM A106 Gr.B",60.3,,,3.91,
"Труба бесшовная (SMLS) с фаской на концах DN 3"" Sch STD (88.9х5.49) CS BE ASME B36.10 ASTM A106 Gr.B",88.9,,,5.49,
"Труба бесшовная (SMLS) с фаской на концах DN 4"" Sch STD (114.3х6.02) CS BE ASME B36.10 ASTM A106 Gr.B",114.3,,,6.02,
"Труба бесшовная (SMLS) с фаской на концах DN 6"" Sch STD (168.3х7.11) CS BE ASME B36.10 ASTM A106 Gr.B",168.3,,,7.11,
"Труба шовная (SAW) с фаской на концах DN 28"" Sch 10 (711х7.92) CS BE ASME B36.10 API-5L-B-PSL2",711.0,,,7.92,
"Труба шовная (SAW) с фаской на концах DN 30"" Sch STD (762х9.53) CS BE ASME B36.10 API-5L-B-PSL2",762.0,,,9.53,
"Лист оцинкованный 0,5ММ ГОСТ 19904-74",,74.0,19904.0,0.5,
"Лист оцинкованный 0,8ММ ГОСТ 19904-74",,74.0,19904.0,0.8,
Полоса 12x0.4ММ ст3 ГОСТ 14918-80,,,12.0,0.4,
Полоса 19х0.5ММ ст3 ГОСТ 14918-80,,,19.0,0.5,
Полоса 19х0.6ММ ст3 ГОСТ 14918-80,,,19.0,0.6,
Уголок горячеоцинкованный 50х50х5,,50.0,50.0,5.0,
"Швеллер стальной оцинкованный С100х46х4,5t",,,,,
Профиль 100х100х4 мм,,100.0,100.0,4.0,
Швеллер 16П ГОСТ 8240-97 С245,,,,,
Профиль 200х200х5 ГОСТ 30245-2003 С245,,200.0,200.0,5.0,
Профиль 60х60х4 ГОСТ 30245-2003,,60.0,60.0,4.0,
Профиль стальной гнутый замкнутый сварной 50х50х4 С245 ГОСТ 30245-2003,,50.0,50.0,4.0,
Лист 20мм,,,,,
Лист 12 ГОСТ 19903-74 С245,,74.0,19903.0,12.0,
Профиль стальной гнутый замкнутый сварной 180х180х5 С245 ГОСТ 30245-2003,,180.0,180.0,5.0,
ТРУБА Ø219Х8ММ,219.0,,,8.0,
ТРУБА  325Х8ММ            09Г2С,325.0,,,8.0,
Труба 820х9 К50 ТУ 14-3-1573-96,820.0,,,9.0,
"КВАДРАТ 30, СТАЛЬ 20",,30.0,,,
Лист 2 ГОСТ 19903-74 С245 ГОСТ 27772-88,,74.0,19903.0,2.0,
Лист 5 ГОСТ 19903-74 С245,,74.0,19903.0,5.0,
Лист стальной рифленый 4х1500х6000 ГОСТ 8568-77 С245 ГОСТ 27772-88,,6000.0,1500.0,4.0,
"Полоса стальная для верхней части двери 15х80х140  t=3,2 L=300ММ",,,15.0,80.0,
"Полоса стальная для торцевой части двери 100х35х80х50 t=3,2 L=300ММ",,,100.0,35.0,
"Полоса стальная для верхней части окон 15х80х140 Т=3,2 L=300ММ",,,15.0,80.0,
"Полоса стальная для торцевой части окон 130х80х35х80х35 Т=3,2 L=300ММ",,,130.0,80.0,
Полоса 3.3х38ММ Ст3 ГОСТ 19903-90,,,3.3,38.0,
Полоса горячекатаная 6х100х150 ГОСТ 103-2006 С245,,,6.0,100.0,
Полоса 40х4ММ из горячеоцинкованной стали,,,40.0,4.0,
Полоса 4х25 ГОСТ 9.307-89 Ст3 оцинкованная,,,4.0,25.0,
Лист t=8,,,,,
ЛИСТ t=10ММ,,,,,
ЛИСТ 4 С345-1,,1.0,345.0,4.0,
ЛИСТ 6 С345-3,,3.0,345.0,6.0,
Уголок 50х50х5 Ст3 оцинкованный,,50.0,50.0,5.0,
Лист 9х200х200 ASTM A653 08сп/3сп оцинкованный G60,,200.0,200.0,9.0,
Лист 150х150х6 ASTM A653 08сп/3сп оцинкованный G60,,6.0,150.0,150.0,
"Профиль 200х200х8,5 ГОСТ 30245-2003 С245",,200.0,200.0,8.5,
Профиль стальной гнутый замкнутый сварной 160х160х6 С245 ГОСТ 30245-2003,,160.0,160.0,6.0,
Труба профильная 40х40х3,,40.0,40.0,3.0,
"Лист горячекатаный ст3пс5/сп5 22ММ 1,5х6М",,5.0,5.0,3.0,
ЛИСТ T=8ММ С255,,,,,
ЛИСТ 4 С245,,,,,
ЛИСТ 6 С245,,,,,
ЛИСТ 10 С245,,,,,
ЛИСТ Т=20ММ,,,,20.0,
ЛИСТ t=8ММ С245,,,,,
Лист 25 ГОСТ 19903-74 С245,,74.0,19903.0,25.0,
Лист 25 ГОСТ 19903-74 Ст3сп5,,74.0,19903.0,25.0,
"Лист горячекатаный ст3пс5/сп5 12ММ 1,5х6М ГОСТ 14637",,5.0,5.0,3.0,
"Лист горячекатаный ст3пс5/сп5 20ММ 1,5х6М",,5.0,5.0,3.0,
Лист 50х3000х6000 20,,6000.0,3000.0,50.0,
Лист 25х2500х6000 20,,6000.0,2500.0,25.0,
Полоса 25х4ММ из горячеоцинкованной стали,,,25.0,4.0,
Лист горячекатанный 25х1500х6000 Ст3сп5 ГОСТ 14637-89,,6000.0,1500.0,25.0,
Лист горячекатанный 16х1500х6000 Ст3сп5 ГОСТ 14637-89,,6000.0,1500.0,16.0,
Лист горячекатанный 8х1500х6000 Ст3сп5 ГОСТ 14637-89,,6000.0,1500.0,8.0,
Лист горячекатаный 6х1500х6000,,6000.0,1500.0,6.0,
Профиль 50х50х3ММ,,50.0,50.0,3.0,
Труба 114х5 Ст20 ТУ 14-3-1128-2000,114.0,,,5.0,
Труба 820х10 К50 C2 ТУ 1381-033-05757848-2007,820.0,,,10.0,
Труба стальная Ø820х20-К50 С2,820.0,,,20.0,
"Лист 0,5х1070х370 ГОСТ 34180-2017 08ПС покрытие полимерное RAL 5005",,370.0,1070.0,0.5,
